"run","case","counter","samples","mean","p50","p95","min","max","first","last"
"native-v2","profile-large30","Graphics.Blit","361","58941.2742","54700.0000","86300.0000","0.0000","103100.0000","0.0000","82700.0000"
"native-v2","profile-large30","EarlyUpdate.UpdateAsyncReadbackManager","361","140448.4765","126200.0000","225000.0000","0.0000","277400.0000","0.0000","209300.0000"
"native-v2","profile-large60","GC Allocated In Frame","721","3685161.8863","3686964.0000","3686964.0000","2387640.0000","3687168.0000","2387640.0000","3686964.0000"
"native-v2","profile-large60","GC Used Memory","721","6824975.6227","6881280.0000","6881280.0000","3190784.0000","6881280.0000","3190784.0000","6881280.0000"
"native-v2","profile-large60","GC Reserved Memory","721","19181568.0000","19181568.0000","19181568.0000","19181568.0000","19181568.0000","19181568.0000","19181568.0000"
"native-v2","profile-large60","Total Used Memory","721","129477165.8627","129533543.0000","129533543.0000","125837848.0000","129533543.0000","125843047.0000","129533543.0000"
"native-v2","profile-large60","Total Reserved Memory","721","242065629.0000","242065629.0000","242065629.0000","242065629.0000","242065629.0000","242065629.0000","242065629.0000"
"native-v2","profile-large60","Gfx Used Memory","721","43831517.0000","43831517.0000","43831517.0000","43831517.0000","43831517.0000","43831517.0000","43831517.0000"
"native-v2","profile-large60","Render Textures Bytes","721","34121840.0000","34121840.0000","34121840.0000","34121840.0000","34121840.0000","34121840.0000","34121840.0000"
"native-v2","profile-large60","Render Textures Count","721","10.0000","10.0000","10.0000","10.0000","10.0000","10.0000","10.0000"
"native-v2","profile-large60","Draw Calls Count","721","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000"
"native-v2","profile-large60","SetPass Calls Count","721","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000"
"native-v2","profile-large60","Batches Count","721","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000"
"native-v2","profile-large60","Gfx.UpdateAsyncReadbackData","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-large60","Gfx.RequestAsyncReadbackData","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-large60","VFX.ParticleSystem.BatchReadbackCount","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-large60","VFX.ParticleSystem.BatchReadbackBounds","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-large60","Terrain.ReadbackHeightmap","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-large60","ClothScene.ReadbackJob","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-large60","Gfx.ReadbackImage","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-large60","GC.Collect","721","184681.5534","171500.0000","271900.0000","89100.0000","1695800.0000","1695800.0000","228500.0000"
"native-v2","profile-large60","Main Thread","721","16643349.6533","16664500.0000","16669200.0000","0.0000","16995800.0000","0.0000","16664900.0000"
"native-v2","profile-large60","Graphics.Blit","721","49309.2926","48700.0000","66700.0000","0.0000","190000.0000","0.0000","46400.0000"
"native-v2","profile-large60","EarlyUpdate.UpdateAsyncReadbackManager","721","107929.8197","109000.0000","151300.0000","0.0000","217500.0000","0.0000","96900.0000"
"native-v2","profile-luma4-sample4","GC Allocated In Frame","721","3685241.7753","3687044.0000","3687044.0000","2387640.0000","3687248.0000","2387640.0000","3687044.0000"
"native-v2","profile-luma4-sample4","GC Used Memory","721","6839308.7822","6885376.0000","6885376.0000","3194880.0000","6885376.0000","3194880.0000","6885376.0000"
"native-v2","profile-luma4-sample4","GC Reserved Memory","721","100237312.0000","100237312.0000","100237312.0000","100237312.0000","100237312.0000","100237312.0000","100237312.0000"
"native-v2","profile-luma4-sample4","Total Used Memory","721","129456338.2982","129502471.0000","129502471.0000","125806776.0000","129502471.0000","125811975.0000","129502471.0000"
"native-v2","profile-luma4-sample4","Total Reserved Memory","721","323125725.0000","323125725.0000","323125725.0000","323125725.0000","323125725.0000","323125725.0000","323125725.0000"
"native-v2","profile-luma4-sample4","Gfx Used Memory","721","43831773.0000","43831773.0000","43831773.0000","43831773.0000","43831773.0000","43831773.0000","43831773.0000"
"native-v2","profile-luma4-sample4","Render Textures Bytes","721","34122096.0000","34122096.0000","34122096.0000","34122096.0000","34122096.0000","34122096.0000","34122096.0000"
"native-v2","profile-luma4-sample4","Render Textures Count","721","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000","11.0000"
"native-v2","profile-luma4-sample4","Draw Calls Count","721","7.0000","7.0000","7.0000","7.0000","7.0000","7.0000","7.0000"
"native-v2","profile-luma4-sample4","SetPass Calls Count","721","7.0000","7.0000","7.0000","7.0000","7.0000","7.0000","7.0000"
"native-v2","profile-luma4-sample4","Batches Count","721","7.0000","7.0000","7.0000","7.0000","7.0000","7.0000","7.0000"
"native-v2","profile-luma4-sample4","Gfx.UpdateAsyncReadbackData","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-luma4-sample4","Gfx.RequestAsyncReadbackData","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-luma4-sample4","VFX.ParticleSystem.BatchReadbackCount","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-luma4-sample4","VFX.ParticleSystem.BatchReadbackBounds","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-luma4-sample4","Terrain.ReadbackHeightmap","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-luma4-sample4","ClothScene.ReadbackJob","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-luma4-sample4","Gfx.ReadbackImage","721","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-luma4-sample4","GC.Collect","721","183228.0166","175300.0000","237700.0000","96800.0000","1723900.0000","1723900.0000","241000.0000"
"native-v2","profile-luma4-sample4","Main Thread","721","16642340.0832","16664500.0000","16669700.0000","0.0000","17012000.0000","0.0000","16662800.0000"
"native-v2","profile-luma4-sample4","Graphics.Blit","721","63978.6408","62600.0000","83900.0000","0.0000","357300.0000","0.0000","62200.0000"
"native-v2","profile-luma4-sample4","EarlyUpdate.UpdateAsyncReadbackManager","721","110462.5520","108200.0000","161600.0000","0.0000","350200.0000","0.0000","100700.0000"
"native-v2","profile-small30","GC Allocated In Frame","361","926124.5263","922164.0000","922164.0000","921960.0000","2351866.0000","2351866.0000","922164.0000"
"native-v2","profile-small30","GC Used Memory","361","4030963.2355","4038656.0000","4038656.0000","3112960.0000","4038656.0000","3112960.0000","4038656.0000"
"native-v2","profile-small30","GC Reserved Memory","361","5941355.7895","5947392.0000","5947392.0000","3768320.0000","5947392.0000","3768320.0000","5947392.0000"
"native-v2","profile-small30","Total Used Memory","361","61461972.8947","61469667.0000","61469667.0000","60543776.0000","61469667.0000","60543971.0000","61469667.0000"
"native-v2","profile-small30","Total Reserved Memory","361","199062064.7895","199068101.0000","199068101.0000","196889029.0000","199068101.0000","196889029.0000","199068101.0000"
"native-v2","profile-small30","Gfx Used Memory","361","16165317.0000","16165317.0000","16165317.0000","16165317.0000","16165317.0000","16165317.0000","16165317.0000"
"native-v2","profile-small30","Render Textures Bytes","361","9220440.0000","9220440.0000","9220440.0000","9220440.0000","9220440.0000","9220440.0000","9220440.0000"
"native-v2","profile-small30","Render Textures Count","361","10.0000","10.0000","10.0000","10.0000","10.0000","10.0000","10.0000"
"native-v2","profile-small30","Draw Calls Count","361","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000"
"native-v2","profile-small30","SetPass Calls Count","361","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000"
"native-v2","profile-small30","Batches Count","361","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000","5.0000"
"native-v2","profile-small30","Gfx.UpdateAsyncReadbackData","361","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-small30","Gfx.RequestAsyncReadbackData","361","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-small30","VFX.ParticleSystem.BatchReadbackCount","361","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-small30","VFX.ParticleSystem.BatchReadbackBounds","361","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-small30","Terrain.ReadbackHeightmap","361","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-small30","ClothScene.ReadbackJob","361","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-small30","Gfx.ReadbackImage","361","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000","0.0000"
"native-v2","profile-small30","GC.Collect","361","168688.9197","161000.0000","216600.0000","84800.0000","1550000.0000","1550000.0000","159600.0000"
"native-v2","profile-small30","Main Thread","361","33252593.9058","33331200.0000","33338700.0000","0.0000","37977600.0000","0.0000","33331800.0000"
"native-v2","profile-small30","Graphics.Blit","361","53521.3296","49300.0000","72900.0000","0.0000","296700.0000","0.0000","52100.0000"
"native-v2","profile-small30","EarlyUpdate.UpdateAsyncReadbackManager","361","108772.8532","104100.0000","167600.0000","0.0000","261200.0000","0.0000","102400.0000"
"native-v2","profile-small60","GC Allocated In Frame","721","924196.5603","922164.0000","922164.0000","921960.0000","2387640.0000","2387640.0000","922164.0000"
"native-v2","profile-small60","GC Used Memory","721","4058096.3773","4063232.0000","4063232.0000","3137536.0000","4063232.0000","3137536.0000","4063232.0000"
