"run","case","scope","calls","meanUs","p50Us","p95Us"
"udon-v2","profile-large30","Host.Helper.HeaderCrc","199","44.3352","44.1000","44.9000"
"udon-v2","profile-large30","Host.Helper.LumaPayload","199","4282.2377","4601.1000","4748.4000"
"udon-v2","profile-large30","Host.Helper.WriteRawBytes","199","1555.2382","1625.9000","1759.6000"
"udon-v2","profile-large60","ContinuousFrameProbe.ProfileBasePixelCopy","199","4480.1206","4628.6000","4769.8000"
"udon-v2","profile-large60","ContinuousFrameProbe.ProfileControl","199","0.4518","0.5000","0.5000"
"udon-v2","profile-large60","ContinuousFrameProbe.ProfileCopyPixels","199","1357.8266","1345.5000","1640.5000"
"udon-v2","profile-large60","ContinuousFrameProbe.ProfileCopyRawBytes","199","1527.4508","1645.0000","1696.5000"
"udon-v2","profile-large60","ContinuousFrameProbe.ProfileHeaderCrc","199","41.9075","41.4000","42.0000"
"udon-v2","profile-large60","ContinuousFrameProbe.ProfileLumaPayload","199","4654.6528","4615.2000","5082.9000"
"udon-v2","profile-large60","ContinuousFrameProbe.ProfileWriteRawBytes","199","1592.1040","1625.4000","1759.5000"
"udon-v2","profile-large60","Host.Helper.BasePixelCopy","199","4485.7553","4632.9000","4774.1000"
"udon-v2","profile-large60","Host.Helper.Control","199","3.3608","3.3000","3.6000"
"udon-v2","profile-large60","Host.Helper.CopyPixels","199","1362.4698","1349.1000","1645.8000"
"udon-v2","profile-large60","Host.Helper.CopyRawBytes","199","1531.8020","1648.8000","1700.2000"
"udon-v2","profile-large60","Host.Helper.HeaderCrc","199","45.1045","44.5000","45.4000"
"udon-v2","profile-large60","Host.Helper.LumaPayload","199","4660.0523","4619.4000","5086.9000"
"udon-v2","profile-large60","Host.Helper.WriteRawBytes","199","1596.7126","1629.2000","1763.7000"
"udon-v2","profile-luma4-sample4","ContinuousFrameProbe.ProfileBasePixelCopy","199","4535.9377","4616.8000","4984.6000"
"udon-v2","profile-luma4-sample4","ContinuousFrameProbe.ProfileControl","199","0.4497","0.4000","0.5000"
"udon-v2","profile-luma4-sample4","ContinuousFrameProbe.ProfileCopyPixels","199","1343.2533","1342.5000","1407.8000"
"udon-v2","profile-luma4-sample4","ContinuousFrameProbe.ProfileCopyRawBytes","199","1558.1090","1610.1000","1738.1000"
"udon-v2","profile-luma4-sample4","ContinuousFrameProbe.ProfileHeaderCrc","199","33.1508","40.8000","41.4000"
"udon-v2","profile-luma4-sample4","ContinuousFrameProbe.ProfileLumaPayload","199","4433.5286","4576.2000","4753.7000"
"udon-v2","profile-luma4-sample4","ContinuousFrameProbe.ProfileWriteRawBytes","199","1562.8131","1638.2000","1720.1000"
"udon-v2","profile-luma4-sample4","Host.Helper.BasePixelCopy","199","4543.9799","4623.3000","4991.0000"
"udon-v2","profile-luma4-sample4","Host.Helper.Control","199","3.2553","3.2000","3.4000"
"udon-v2","profile-luma4-sample4","Host.Helper.CopyPixels","199","1347.5015","1346.2000","1411.4000"
"udon-v2","profile-luma4-sample4","Host.Helper.CopyRawBytes","199","1563.4844","1614.0000","1745.6000"
"udon-v2","profile-luma4-sample4","Host.Helper.HeaderCrc","199","35.6608","43.9000","44.7000"
"udon-v2","profile-luma4-sample4","Host.Helper.LumaPayload","199","4441.1668","4582.0000","4772.0000"
"udon-v2","profile-luma4-sample4","Host.Helper.WriteRawBytes","199","1569.2236","1643.2000","1727.7000"
"udon-v2","profile-small30","ContinuousFrameProbe.ProfileBasePixelCopy","199","897.4553","1129.7000","1254.2000"
"udon-v2","profile-small30","ContinuousFrameProbe.ProfileControl","199","0.4503","0.4000","0.5000"
"udon-v2","profile-small30","ContinuousFrameProbe.ProfileCopyPixels","199","23.6935","23.5000","24.4000"
"udon-v2","profile-small30","ContinuousFrameProbe.ProfileCopyRawBytes","199","24.2065","24.2000","24.4000"
"udon-v2","profile-small30","ContinuousFrameProbe.ProfileHeaderCrc","199","42.0844","42.0000","42.4000"
"udon-v2","profile-small30","ContinuousFrameProbe.ProfileLumaPayload","199","72.7417","71.7000","75.7000"
"udon-v2","profile-small30","ContinuousFrameProbe.ProfileWriteRawBytes","199","25.6377","25.4000","25.8000"
"udon-v2","profile-small30","Host.Helper.BasePixelCopy","199","900.9970","1133.1000","1258.3000"
"udon-v2","profile-small30","Host.Helper.Control","199","3.2578","3.2000","3.4000"
"udon-v2","profile-small30","Host.Helper.CopyPixels","199","26.7789","26.6000","27.5000"
"udon-v2","profile-small30","Host.Helper.CopyRawBytes","199","27.2417","27.2000","27.8000"
"udon-v2","profile-small30","Host.Helper.HeaderCrc","199","45.2789","45.1000","45.9000"
"udon-v2","profile-small30","Host.Helper.LumaPayload","199","75.9166","74.8000","79.3000"
"udon-v2","profile-small30","Host.Helper.WriteRawBytes","199","28.7482","28.4000","29.4000"
"udon-v2","profile-small60","ContinuousFrameProbe.ProfileBasePixelCopy","199","1151.0779","1169.4000","1196.0000"
"udon-v2","profile-small60","ContinuousFrameProbe.ProfileControl","199","0.4276","0.4000","0.5000"
"udon-v2","profile-small60","ContinuousFrameProbe.ProfileCopyPixels","199","23.6337","23.6000","24.2000"
"udon-v2","profile-small60","ContinuousFrameProbe.ProfileCopyRawBytes","199","24.5171","24.5000","24.7000"
"udon-v2","profile-small60","ContinuousFrameProbe.ProfileHeaderCrc","199","25.0598","21.1000","41.9000"
"udon-v2","profile-small60","ContinuousFrameProbe.ProfileLumaPayload","199","69.1387","68.9000","69.6000"
"udon-v2","profile-small60","ContinuousFrameProbe.ProfileWriteRawBytes","199","15.3005","12.7000","25.4000"
"udon-v2","profile-small60","Host.Helper.BasePixelCopy","199","1154.9201","1173.7000","1200.1000"
"udon-v2","profile-small60","Host.Helper.Control","199","3.1915","3.2000","3.4000"
"udon-v2","profile-small60","Host.Helper.CopyPixels","199","26.8095","26.6000","28.2000"
"udon-v2","profile-small60","Host.Helper.CopyRawBytes","199","27.5487","27.5000","28.0000"
"udon-v2","profile-small60","Host.Helper.HeaderCrc","199","26.7317","22.3000","45.2000"
"udon-v2","profile-small60","Host.Helper.LumaPayload","199","72.3286","72.0000","73.4000"
"udon-v2","profile-small60","Host.Helper.WriteRawBytes","199","16.9829","13.9000","28.4000"
"native-one-slot","profile-large60","Host.Helper.BasePixelCopy","199","17.7508","17.7000","17.7000"
"native-one-slot","profile-large60","Host.Helper.Control","199","0.0603","0.1000","0.1000"
"native-one-slot","profile-large60","Host.Helper.CopyPixels","199","5.1598","5.1000","5.4000"
"native-one-slot","profile-large60","Host.Helper.CopyRawBytes","199","5.0829","5.1000","5.1000"
"native-one-slot","profile-large60","Host.Helper.HeaderCrc","199","0.1910","0.2000","0.2000"
"native-one-slot","profile-large60","Host.Helper.LumaPayload","199","12.8432","12.8000","12.9000"
"native-one-slot","profile-large60","Host.Helper.WriteRawBytes","199","5.0749","5.1000","5.1000"
"native-one-slot","profile-small60","Host.Helper.BasePixelCopy","199","2.0221","2.0000","2.1000"
"native-one-slot","profile-small60","Host.Helper.Control","199","0.0352","0.0000","0.1000"
"native-one-slot","profile-small60","Host.Helper.CopyPixels","199","0.0608","0.1000","0.1000"
"native-one-slot","profile-small60","Host.Helper.CopyRawBytes","199","0.0779","0.1000","0.1000"
"native-one-slot","profile-small60","Host.Helper.HeaderCrc","199","0.1508","0.2000","0.2000"
"native-one-slot","profile-small60","Host.Helper.LumaPayload","199","0.1472","0.1000","0.2000"
"native-one-slot","profile-small60","Host.Helper.WriteRawBytes","199","0.0799","0.1000","0.1000"
